id,utility_on_time_ratio,utility_missed_payment_rate,utility_amount_volatility,utility_observation_months,telecom_recharge_regularity,telecom_account_tenure_months,telecom_failed_payment_rate,wallet_inflow_regularity,wallet_outflow_volatility,wallet_balance_stability,wallet_failed_transaction_rate,bill_payment_consistency,simulated_repayment_ratio,simulated_days_late_average,cash_flow_coverage,income_stability,expense_volatility,negative_balance_days,account_age_months,data_completeness,synthetic_audit_group,simulated_repayment_success
synthetic-00001,0.8709,0.0525,0.2442,12,0.7947,66,0.0745,0.7966,0.2329,0.8077,0.0917,0.8178,0.8951,0,0.8794,0.8885,0.2589,0,66,1,Synthetic Region Group A,1
synthetic-00002,0.6942,0.0954,0.3489,12,0.6768,59,0.0467,0.6663,0.3849,0.7076,0.0801,0.613,0.6944,0,0.5896,0.5812,0.3336,0,53,1,Synthetic Region Group B,1
synthetic-00003,0.4372,0.1144,0.4365,12,0.5085,49,0.0829,0.4746,0.3197,0.4432,0.1041,0.5067,,,0.5779,0.4257,0.4035,3,48,0.9,Synthetic Region Group C,0
synthetic-00004,0.6052,0.0438,0.3666,7,0.5244,47,0.091,,,,,0.6501,0.534,3,0.6574,0.6117,0.3922,3,56,0.8,Synthetic Region Group D,1
synthetic-00005,0.7879,0.0159,0.3448,12,0.8467,65,0.0926,0.7642,0.2243,0.8087,0.0632,0.8002,0.7894,1,0.8515,0.7867,0.3346,0,70,1,Synthetic Region Group A,1
synthetic-00006,0.7125,0.1232,0.3439,12,0.6746,51,0.0434,0.6692,0.3366,0.6603,0.0846,0.7236,0.6745,0,0.6624,0.5919,0.4074,1,53,1,Synthetic Region Group B,1
synthetic-00007,0.506,0.1422,0.4404,12,0.547,47,0.1384,0.5805,0.3989,0.5272,0.0659,0.476,0.4398,7,0.4867,0.4719,0.4584,4,51,1,Synthetic Region Group C,0
synthetic-00008,,,,,0.5369,51,0.1263,0.5257,0.4073,0.5866,0.0842,0.5196,0.6506,2,0.5268,0.5833,0.3051,4,54,0.8,Synthetic Region Group D,1
synthetic-00009,0.8492,0.0577,0.2371,12,0.8781,65,0.0465,0.8552,0.2139,0.8389,0.0455,0.8916,0.8469,0,0.8339,0.8495,0.1989,0,70,1,Synthetic Region Group A,1
synthetic-00010,0.6206,0.0712,0.3674,12,0.6797,61,0.0472,0.5872,0.3886,0.7344,0.071,0.6045,0.7145,3,0.7407,0.6626,0.3511,0,54,1,Synthetic Region Group B,1
synthetic-00011,0.4594,0.1367,0.4055,12,0.5098,43,0.1446,0.5143,0.3739,0.5537,0.0385,,0.5684,6,,,,,45,0.75,Synthetic Region Group C,0
synthetic-00012,0.5798,0.0956,0.3544,7,0.6264,49,0.0782,,,,,0.5466,,,0.5373,0.5243,0.3814,2,52,0.7,Synthetic Region Group D,0
synthetic-00013,0.8863,0.0162,0.2202,12,0.7904,65,0.0543,0.849,0.336,0.7955,0.0129,0.8779,0.7849,0,0.8223,0.7395,0.1963,0,66,1,Synthetic Region Group A,1
synthetic-00014,0.7343,0.0511,0.3312,12,0.6458,52,0.0915,0.5926,0.3326,0.6599,0.0989,0.5868,0.6586,3,0.6589,0.6329,0.3112,2,57,1,Synthetic Region Group B,1
synthetic-00015,0.5236,0.1266,0.4266,12,0.5522,46,0.0714,0.5019,0.4169,0.573,0.0405,0.495,0.4838,6,0.5782,0.436,0.3335,6,49,1,Synthetic Region Group C,0
synthetic-00016,,,,,0.6296,47,0.0462,,0.3525,0.6528,,0.588,,,0.6458,0.5028,0.3497,2,49,0.6,Synthetic Region Group D,0
synthetic-00017,0.8852,0.031,0.2212,12,0.864,58,0.0266,0.8056,0.2458,0.8915,0.101,0.7544,0.7518,0,0.8344,0.8009,0.3016,0,64,1,Synthetic Region Group A,1
synthetic-00018,0.674,0.1312,0.3492,12,0.6819,60,0.0992,0.6135,0.3254,0.6585,0.0674,0.6501,0.5815,1,0.6655,0.6969,0.2884,1,55,1,Synthetic Region Group B,1
synthetic-00019,0.5515,0.1435,0.3839,12,0.5413,43,0.1174,,0.4642,0.5809,,0.4887,0.5536,3,0.5747,0.4552,0.3726,4,44,0.9,Synthetic Region Group C,1
synthetic-00020,0.5698,0.0538,0.3485,7,0.5449,48,0.1184,0.6097,0.2956,0.6305,0.053,0.6228,,,0.6019,0.6126,0.3878,3,57,0.9,Synthetic Region Group D,0
synthetic-00021,0.7587,0.0395,0.2963,12,0.7698,69,0.0402,0.7885,0.2867,0.8572,0.034,0.8372,0.8351,0,0.7896,0.8381,0.2462,0,65,1,Synthetic Region Group A,1
synthetic-00022,0.6412,0.0417,0.3103,12,0.5888,59,0.0809,0.6751,0.2899,0.6963,0.1011,0.7025,0.6496,2,0.6733,0.6733,0.4095,3,53,1,Synthetic Region Group B,1
synthetic-00023,0.4609,0.1471,0.2992,12,0.4281,51,0.1087,0.4631,0.4212,0.5184,0.1126,0.4757,0.4746,6,0.4537,0.4486,0.3373,3,46,1,Synthetic Region Group C,0
synthetic-00024,0.6159,0.0606,0.3532,7,0.5183,50,0.0548,,,,,,0.5937,1,,,,,51,0.55,Synthetic Region Group D,1
synthetic-00025,0.7925,0.0663,0.2033,12,0.761,68,0.0885,0.8615,0.2067,0.8815,0.0181,0.7778,0.7965,0,0.7674,0.8613,0.2996,0,63,1,Synthetic Region Group A,1
synthetic-00026,0.7112,0.084,0.2858,12,0.6703,54,0.0748,0.7072,0.3822,0.6082,0.0464,0.7072,0.6547,0,0.683,0.7016,0.271,0,61,1,Synthetic Region Group B,1
synthetic-00027,0.4466,0.1244,0.4468,12,0.5795,48,0.0897,0.4319,0.3588,0.5408,0.0696,0.5228,0.4913,4,0.4766,0.5431,0.409,4,51,1,Synthetic Region Group C,0
synthetic-00028,0.5231,0.0576,0.2897,7,0.6143,53,0.092,,0.3681,0.6435,,0.6055,,,0.5515,0.6137,0.3964,3,49,0.8,Synthetic Region Group D,0
synthetic-00029,0.8069,0.0955,0.3251,12,0.8663,60,0.0849,0.8124,0.3388,0.8024,0.0087,0.8251,0.7465,0,0.7601,0.7999,0.328,0,63,1,Synthetic Region Group A,1
synthetic-00030,0.6734,0.0896,0.3501,12,0.6716,52,0.0548,0.7267,0.3279,0.6184,0.0423,0.6456,0.6307,0,0.6816,0.6414,0.3654,2,61,1,Synthetic Region Group B,1
synthetic-00031,0.4234,0.0863,0.3534,12,0.4728,53,0.0776,0.5313,0.4341,0.5536,0.0384,0.5709,,,0.4251,0.5343,0.3735,2,44,0.9,Synthetic Region Group C,0
synthetic-00032,0.553,0.0755,0.3943,7,0.5054,48,0.1025,,0.3017,0.5207,,0.6003,,,0.595,0.5079,0.3826,1,53,0.8,Synthetic Region Group D,0
synthetic-00033,0.8949,0.0564,0.2649,12,0.8897,58,0.0938,0.8708,0.3044,0.7413,0.0666,0.8108,0.7825,0,0.7865,0.7693,0.3104,0,70,1,Synthetic Region Group A,1
synthetic-00034,0.6774,0.1338,0.3652,12,0.7299,52,0.0697,0.6982,0.2633,0.5978,0.0675,0.6561,0.656,1,0.7079,0.7153,0.2767,2,55,1,Synthetic Region Group B,1
synthetic-00035,0.5506,0.1368,0.3909,12,0.4498,52,0.1247,0.4304,0.4602,0.4475,0.0409,0.5694,0.5213,7,0.51,0.4227,0.342,5,46,1,Synthetic Region Group C,0
synthetic-00036,0.6227,0.1187,0.3434,7,0.5821,53,0.0855,,,,,0.505,0.6259,6,0.5318,0.5632,0.3856,4,55,0.8,Synthetic Region Group D,1
synthetic-00037,0.79,0.0451,0.2707,12,0.873,63,0.0736,0.7998,0.3258,0.8227,0.0428,0.8434,0.8074,0,0.8021,0.8855,0.2081,0,62,1,Synthetic Region Group A,1
synthetic-00038,0.6019,0.103,0.3479,12,0.6608,57,0.1153,0.6615,0.2953,0.7285,0.0792,,0.6073,0,,,,,56,0.75,Synthetic Region Group B,1
synthetic-00039,0.5014,0.0624,0.4169,12,0.4399,46,0.0513,0.4755,0.3356,0.5501,0.0445,0.4548,0.566,5,0.462,0.4792,0.4187,3,43,1,Synthetic Region Group C,1
synthetic-00040,0.5731,0.1148,0.2943,7,0.535,53,0.108,0.6148,0.3584,0.5787,0.123,,,,,,,,52,0.65,Synthetic Region Group D,0
synthetic-00041,0.8953,0.0139,0.2051,12,0.7641,65,0.0856,0.7793,0.2884,0.8014,0.0132,0.7984,0.8192,0,0.8948,0.8643,0.1977,0,62,1,Synthetic Region Group A,1
synthetic-00042,0.6597,0.0779,0.2615,12,0.702,59,0.0317,0.5831,0.3264,0.6669,0.0385,0.7208,0.6625,2,0.7005,0.6202,0.2816,2,61,1,Synthetic Region Group B,1
synthetic-00043,0.5225,0.1445,0.3485,12,0.4192,49,0.135,0.4938,0.4593,0.4726,0.0621,0.5114,0.5617,5,0.4468,0.5638,0.4422,4,48,1,Synthetic Region Group C,0
synthetic-00044,0.5735,0.1317,0.393,7,0.5559,46,0.067,0.5972,,,0.0362,0.5639,0.6391,5,0.5536,0.5522,0.324,3,53,0.9,Synthetic Region Group D,1
synthetic-00045,0.7687,0.0332,0.3421,12,0.8765,69,0.0641,0.8087,0.2945,0.8631,0.0369,0.8511,0.8556,0,0.8393,0.8597,0.2533,0,67,1,Synthetic Region Group A,1
synthetic-00046,0.726,0.0683,0.3068,12,0.6466,59,0.117,0.6858,0.3174,0.7176,0.0764,0.682,0.6025,0,0.6093,0.5922,0.2921,1,52,1,Synthetic Region Group B,1
synthetic-00047,0.5603,0.0662,0.3406,12,0.5226,50,0.0735,0.488,,,0.1336,0.4787,0.5736,5,0.4467,0.4373,0.3312,6,49,0.9,Synthetic Region Group C,0
synthetic-00048,0.5945,0.1084,0.2977,7,0.6439,58,0.0727,,0.325,0.5536,,0.5449,,,0.5317,0.6212,0.3256,4,53,0.8,Synthetic Region Group D,0
synthetic-00049,0.7828,0.1078,0.2195,12,0.7859,63,0.0464,0.7464,0.2785,0.8094,0.0871,0.8569,0.791,0,0.7966,0.7918,0.2982,0,71,1,Synthetic Region Group A,1
synthetic-00050,0.654,0.0574,0.3818,12,,,,0.6226,0.3417,0.5914,0.0752,0.6181,0.6541,2,0.6143,0.6779,0.253,1,57,0.85,Synthetic Region Group B,1
synthetic-00051,0.5314,0.1297,0.4075,12,0.5152,45,0.1254,0.5553,,,0.0341,0.4419,0.4202,7,0.5358,0.539,0.414,2,45,0.9,Synthetic Region Group C,0
synthetic-00052,0.6582,0.134,0.3592,7,0.6152,56,0.047,,,,,0.4999,0.5589,2,0.5281,0.5615,0.4327,2,48,0.8,Synthetic Region Group D,1
synthetic-00053,0.8744,0.042,0.3382,12,0.8962,60,0.0173,0.8912,0.3302,0.7721,0.0557,0.8386,0.8043,0,0.8565,0.7889,0.2617,0,62,1,Synthetic Region Group A,1
synthetic-00054,0.712,0.0443,0.356,12,0.6131,51,0.0627,0.6256,0.2736,0.6986,0.099,0.5982,0.6635,1,0.6211,0.6788,0.2691,0,58,1,Synthetic Region Group B,1
synthetic-00055,0.4358,0.1079,0.324,12,0.5724,42,0.1013,0.4847,0.3128,0.514,0.0321,0.5675,0.5765,4,0.4336,0.5797,0.4045,2,51,1,Synthetic Region Group C,0
synthetic-00056,0.5232,0.1015,0.4063,7,0.6326,56,0.0907,,,,,0.5954,,,0.5468,0.6415,0.3148,2,52,0.7,Synthetic Region Group D,0
synthetic-00057,0.8583,0.0467,0.3114,12,0.899,63,0.0628,0.7958,0.2611,0.8084,0.0716,0.7887,0.8695,1,0.8609,0.8407,0.2754,0,69,1,Synthetic Region Group A,1
synthetic-00058,0.6814,0.0646,0.3735,12,0.6052,51,0.1194,,0.296,0.7406,,,0.582,0,,,,,57,0.65,Synthetic Region Group B,1
synthetic-00059,0.4769,0.1036,0.402,12,,,,0.5071,0.3138,0.4794,0.1109,0.507,0.4971,3,0.4941,0.4853,0.3246,2,51,0.85,Synthetic Region Group C,0
synthetic-00060,0.5468,0.1392,0.3684,7,0.612,57,0.0731,,0.3315,0.6583,,,,,,,,,49,0.55,Synthetic Region Group D,0
synthetic-00061,0.8146,0.0601,0.188,12,0.8168,58,0.034,0.8096,0.2394,0.7543,0,0.8952,0.7683,0,0.8352,0.8937,0.3474,0,65,1,Synthetic Region Group A,1
synthetic-00062,0.6252,0.1338,0.321,12,0.6076,58,0.1151,0.5838,0.4098,0.6765,0.0634,0.7307,0.5987,0,0.7393,0.6972,0.3751,3,55,1,Synthetic Region Group B,1
synthetic-00063,0.4465,0.1563,0.3107,12,0.5704,45,0.0655,0.5135,0.4571,0.5472,0.0732,0.5366,0.5345,2,0.4756,0.443,0.3512,1,51,1,Synthetic Region Group C,1
synthetic-00064,0.5521,0.1008,0.3116,7,0.6471,52,0.043,0.5287,,,0.0707,0.6544,,,0.555,0.6179,0.4132,1,51,0.8,Synthetic Region Group D,0
synthetic-00065,0.8555,0.0535,0.206,12,0.889,59,0.0584,0.7409,,,0.0377,0.8354,0.7683,0,0.76,0.8613,0.3224,0,70,0.9,Synthetic Region Group A,1
synthetic-00066,0.6784,0.0435,0.3381,12,0.6672,57,0.0782,0.6702,0.326,0.6521,0.1088,0.6585,0.6309,0,0.6157,0.7104,0.2663,2,53,1,Synthetic Region Group B,1
synthetic-00067,0.5677,0.0905,0.3616,12,0.538,53,0.0905,0.449,0.4158,0.5237,0.0442,0.5734,,,0.4645,0.5525,0.3326,4,43,0.9,Synthetic Region Group C,0
synthetic-00068,0.6063,0.0703,0.2908,7,0.6151,58,0.132,,,,,0.6055,0.5704,4,0.6567,0.5355,0.3823,4,51,0.8,Synthetic Region Group D,1
synthetic-00069,0.9002,0.0133,0.1961,12,0.7642,60,0.0388,0.7672,0.2472,0.8953,0.0536,0.7877,0.8434,0,0.8154,0.8969,0.2752,0,67,1,Synthetic Region Group A,1
synthetic-00070,0.6967,0.1207,0.3597,12,0.5872,58,0.0579,0.641,0.3915,0.6957,0.0138,0.6962,0.5978,0,0.5998,0.645,0.3268,0,53,1,Synthetic Region Group B,1
synthetic-00071,0.5301,0.1558,0.3264,12,0.5131,43,0.0684,0.4527,0.4161,0.4938,0.1174,0.5636,0.5153,7,0.4793,0.5686,0.339,3,51,1,Synthetic Region Group C,0
synthetic-00072,0.4992,0.1275,0.3969,7,0.6579,54,0.0564,0.5379,,,0.0751,0.6271,0.5385,1,0.599,0.6132,0.426,4,56,0.9,Synthetic Region Group D,1
synthetic-00073,0.8048,0.1041,0.3221,12,0.781,58,0.019,0.7972,0.3038,0.744,0.0899,0.8336,0.808,0,0.7521,0.8784,0.2348,0,69,1,Synthetic Region Group A,1
synthetic-00074,0.6913,0.0438,0.3721,12,0.738,53,0.05,0.5839,0.2925,0.6206,0.113,0.64,0.6551,1,0.6673,0.6727,0.3679,0,56,1,Synthetic Region Group B,1
synthetic-00075,0.5671,0.1397,0.418,12,0.4505,45,0.0713,0.5223,0.33,0.5051,0.1068,0.5036,0.477,6,0.5802,0.5228,0.3165,3,48,1,Synthetic Region Group C,0
synthetic-00076,0.6481,0.1422,0.4263,7,0.5285,49,0.1188,0.5654,0.4244,0.6555,0.0293,0.6276,,,0.5352,0.6412,0.3532,4,57,0.9,Synthetic Region Group D,1
synthetic-00077,0.8959,0.0588,0.2241,12,0.8976,63,0.0228,0.7565,,,0.0029,0.8037,0.7862,1,0.8079,0.772,0.3194,0,67,0.9,Synthetic Region Group A,1
synthetic-00078,0.6352,0.0388,0.2418,12,0.7373,52,0.1222,0.6126,0.4099,0.6649,0.0914,0.6025,0.6278,3,0.717,0.653,0.3342,0,53,1,Synthetic Region Group B,1
